门,纲,目,科,属,种,缩写,序列号
Cyanobacteria,Deltaproteobacteria,Desulauromonadales,Geobacteraceae,Geotalea,Geotalea daltonii,Geoda,GCF_000022265.1
Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Coleoaasciculaceae,Coleoaasciculus,Coleoaasciculus chthonoplastes?PCC7420,Colch,GCF_000155555.1
Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Sirenicapillariaceae,Limnospira,Limnospira maxima,Limma,GCF_000173555.1
Cyanobacteria,Cyanophyceae,Nostocales,aphanizomenonaceae,Raphidiopsis,Raphidiopsis brookii,Rapbr,GCF_000175855.1
Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Microcoleaceae,Kamptonema,Kamptonema sp.PCC6506,Kamsp,GCF_000180455.1
Cyanobacteria,Cyanophyceae,Synechococcales,Prochlorococcaceae,Parasynechococcus,Parasynechococcus marenigrum,Parma,GCF_000195975.1
Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Trichormus,Trichormus azollae,Triaz,GCF_000196515.1
Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Microcoleaceae,arthrospira,arthrospira platensis,artpl,GCF_000307915.1
Cyanobacteria,Cyanophyceae,Synechococcales,Prochlorotrichaceae,Nodosilinea,Nodosilinea nodulosa,Nodno,GCF_000309385.1
Cyanobacteria,Cyanophyceae,Spirulinales,Spirulinaceae,Spirulina,Spirulina subsalsa PCC 9445,SpisuP,GCF_000314005.1
Cyanobacteria,Cyanophyceae,Nostocales,Stigonemataceae,Mastigocladopsis,Mastigocladopsis repens,Masre,GCF_000315565.1
Cyanobacteria,Cyanophyceae,Synechococcales,Prochlorococcaceae,Cyanobium,Cyanobium gracile,Cyagr,GCF_000316515.1
Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Rivularia,Rivularia?sp.PCC7116,RivspP,GCF_000316665.1
Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Oscillatoriaceae,Oscillatoria,Oscillatoria acuminata,Oscac,GCF_000317105.1
Cyanobacteria,Cyanophyceae,Synechococcales,Chamaesiphonaceae,Chamaesiphon,Chamaesiphon minutus,Chami,GCF_000317145.1
Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Gomontiellaceae,Crinalium,Crinalium epipsammum,Criep,GCF_000317495.1
Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Coleoaasciculaceae,allocoleopsis,allocoleopsis aranciscana,allar,GCF_000317515.1
Cyanobacteria,Oscillatoriophycideae,Chroococcales,Chroococcaceae,Gloeocapsa,Gloeocapsa?sp.PCC7428,Glosp4,GCF_000317555.1
Cyanobacteria,Cyanophyceae,Pleurocapsales,Dermocarpellaceae,Stanieria,Stanieria cyanosphaera,Stacy,GCF_000317575.1
Cyanobacteria,Oscillatoriophycideae,Chroococcales,Chroococcaceae,Gloeocapsa,Gloeocapsa?sp.PCC73106,Glosp3,GCF_000332035.1
Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Microcoleaceae,Kamptonema,Kamptonema aormosum,Kamao,GCF_000332155.1
Cyanobacteria,Cyanophyceae,Synechococcales,Pseudanabaenaceae,Pseudanabaena,Pseudanabaena biceps?PCC7429,PsebiP,GCF_000332215.1
Cyanobacteria,Oscillatoriophycideae,Chroococcales,Chroococcaceae,Geminocystis,Geminocystis herdmanii,Gemhe,GCF_000332235.1
Cyanobacteria,Cyanophyceae,Nostocales,Stigonemataceae,,cyanobacterium PCC7702,cyaPC,GCF_000332255.1
Cyanobacteria,Cyanophyceae,Synechococcales,Prochlorotrichaceae,Prochlorothrix,Prochlorothrix hollandica,Proho,GCF_000332315.1
Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Microcoleaceae,Baaleninema,Baaleninema simplex,Baasi,GCF_000332355.1
Cyanobacteria,Deltaproteobacteria,Desulauromonadales,Geobacteraceae,Geopsychrobacter,Geopsychrobacter electrodiphilus,Geoel,GCF_000384395.1
Cyanobacteria,Deltaproteobacteria,Desulauromonadales,Geobacteraceae,Citriaermentans,Citriaermentans bremense,Citbr,GCF_000426865.1
Cyanobacteria,Cyanophyceae,Nostocales,aphanizomenonaceae,Dolichospermum,Dolichospermum circinale,Dolci,GCF_000426905.1
Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Oscillatoriaceae,Lyngbya,Lyngbya aestuarii,Lynae,GCF_000478195.2
Cyanobacteria,Gloeobacteria,Gloeobacterales,Gloeobacteraceae,Gloeobacter,Gloeobacter kilaueensis,Gloki,GCF_000484535.1
Cyanobacteria,Cyanophyceae,Nostocales,Tolypothrichaceae,Tolypothrix,[Scytonema hoamanni]UTEXB1581,ScyhoU,GCF_000582685.1
Cyanobacteria,Cyanophyceae,Nostocales,Tolypothrichaceae,Tolypothrix,Tolypothrix bouteillei,Tolbo,GCF_000760695.4
Cyanobacteria,Cyanophyceae,Nostocales,aphanizomenonaceae,aphanizomenon,aphanizomenon alos-aquae,aphal,GCF_000789435.1
Cyanobacteria,Cyanophyceae,Nostocales,Scytonemataceae,Scytonema,Scytonema millei,Scymi,GCF_000817735.3
Cyanobacteria,Cyanophyceae,Nostocales,Tolypothrichaceae,Hassalia,Hassallia byssoidea,Hasby,GCF_000817785.2
Cyanobacteria,Deltaproteobacteria,Desulauromonadales,Geobacteraceae,Geoalkalibacter,Geoalkalibacter aerrihydriticus,Geoae,GCF_000820505.1
Cyanobacteria,Deltaproteobacteria,Desulauromonadales,Geobacteraceae,Geoalkalibacter,Geoalkalibacter subterraneus,Geosu,GCF_000827125.1
Cyanobacteria,Cyanophyceae,Nostocales,Tolypothrichaceae,Tolypothrix,Tolypothrix campylonemoides,Tolcam,GCF_000828075.3
Cyanobacteria,Cyanophyceae,Chroococcidiopsidales,aliterellaceae,aliterella,aliterella atlantica,aliat,GCF_000952155.1
Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Sirenicapillariaceae,Limnoraphis,Limnoraphis robusta,Limrob,GCF_000972705.2
Cyanobacteria,Cyanophyceae,Synechococcales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus,Proma,GCF_001180245.1
Cyanobacteria,Oscillatoriophycideae,Chroococcales,Microcystaceae,Microcystis,Microcystis panniaormis,Micpa,GCF_001264245.1
Cyanobacteria,Cyanophyceae,Nostocales,Hapalosiphonaceae,Hapalosiphon,Hapalosiphon sp.MRB220,Hapsp,GCF_001275395.1
Cyanobacteria,Cyanophyceae,Synechococcales,Pseudanabaenaceae,Pseudanabaena,Pseudanabaena?sp.'RoaringCreek',PsespR,GCF_001402795.1
Cyanobacteria,Oscillatoriophycideae,Chroococcales,Chroococcaceae,Geminocystis,Geminocystis?sp.NIES-3708,GemspN,GCF_001548095.1
Cyanobacteria,Cyanophyceae,Nostocales,aphanizomenonaceae,Sphaerospermopsis,Sphaerospermopsis aphanizomenoides,Sphap,GCF_001586785.1    
Cyanobacteria,Deltaproteobacteria,Desulauromonadales,Geobacteraceae,Geobacter,Geobacter anodireducens,Geoano,GCF_001628815.1
Cyanobacteria,Cyanophyceae,Gloeomargaritales,Gloeomargaritaceae,Gloeomargarita,Gloeomargarita lithophora,Gloli,GCF_001870225.1
Cyanobacteria,Cyanophyceae,Spirulinales,Spirulinaceae,Spirulina,Spirulina major PCC 6313,SpimaP,GCF_001890765.1
