门,纲,目,科,属,种,缩写,序列号
Cyanobacteria,Cyanophyceae,Synechococcales,Pseudanabaenaceae,Limnothrix,Limnothrix?sp.aaCHB-1083,Limsp83,GCF_014696485.1
Cyanobacteria,Cyanophyceae,Nostocales,Calotrichaceae,Calothrix,Calothrix parietina,Calpari,GCF_014696555.1
Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,anabaena,anabaena cylindrica,anacy,GCF_014696775.1
Cyanobacteria,Oscillatoriophycideae,Chroococcales,Microcystaceae,Microcystis,Microcystis wesenbergii,Micwe,GCF_014696875.1
Cyanobacteria,Cyanophyceae,Synechococcales,Leptolyngbyaceae,alkalinema,alkalinema?sp.aaCHB-956,alkspa,GCF_014697025.1
Cyanobacteria,Cyanophyceae,Nostocales,Tolypothrichaceae,Tolypothrix,Tolypothrix?sp.aaCHB-123,Tolsp,GCF_014697075.1
Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,anabaena,anabaena minutissima,anami,GCF_014697125.1
Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,anabaena,anabaena azotica,anaaz,GCF_014697625.1
Cyanobacteria,Cyanophyceae,Synechococcales,Pseudanabaenaceae,Limnothrix,Limnothrix?sp.aaCHB-881,Limsp81,GCF_014698135.1
Cyanobacteria,Cyanophyceae,Synechococcales,Pseudanabaenaceae,Limnothrix,Limnothrix?sp.aaCHB-708,Limsp08,GCF_014698215.1
Cyanobacteria,Cyanophyceae,Synechococcales,Pseudanabaenaceae,Limnothrix,Limnothrix?sp.aaCHB-406,Limsp06,GCF_014698235.1
Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,anabaena,anabaena lutea,analu,GCF_014698305.1
Cyanobacteria,Oscillatoriophycideae,Chroococcales,Microcystaceae,Microcystis,Microcystis viridis,Micvi,GCF_014698335.1
Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus elongatus,Synel,GCF_014698415.1
Cyanobacteria,Cyanophyceae,Nostocales,Scytonemataceae,Scytonema,Scytonema hoamannii,Scyho,GCF_014698435.1
Cyanobacteria,Oscillatoriophycideae,Chroococcales,Microcystaceae,Microcystis,Microcystis elabens,Micel,GCF_014698445.1
Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Microcoleaceae,Planktothricoides,Planktothricoides sp.aaCHB-1261,Plasp,GCF_014698535.1
Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Synechocystis,Synechocystis?sp.aaCHB-383,Synspa,GCF_014698605.1
Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,anabaena,anabaena catenula,anaca,GCF_014698735.1
Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Coleoaasciculaceae,Coleoaasciculus,Coleoaasciculus?sp.aaCHB-1120,Colsp11,GCF_014698845.1
Cyanobacteria,Cyanophyceae,Nostocales,Scytonemataceae,Iningainema,Iningainema tapete,Inita,GCF_014698965.1
Cyanobacteria,Deltaproteobacteria,Desulauromonadales,Geobacteraceae,Pelovirga,Pelovirga terrestris,Pelte,GCF_014773365.1
Cyanobacteria,Cyanophyceae,Synechococcales,Leptolyngbyaceae,Leptolyngbya,Leptolyngbya ectocarpi,Lepec,GCF_015207065.1
Cyanobacteria,Cyanophyceae,Synechococcales,Romeriaceae,Romeria,Romeria gracilis,Romgr,GCF_015207255.1
Cyanobacteria,Cyanophyceae,Synechococcales,Prochlorotrichaceae,Nodosilinea,Nodosilinea?sp.LEGE07298,NodspL2,GCF_015207265.1
Cyanobacteria,Cyanophyceae,Synechococcales,Prochlorotrichaceae,Nodosilinea,Nodosilinea?sp.LEGE07088,NodspL0,GCF_015207395.1
Cyanobacteria,Cyanophyceae,Synechococcales,Pseudanabaenaceae,Lusitaniella,Lusitaniella coriacea,Lusco,GCF_015207425.1
Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Microcoleaceae,Planktothrix,Planktothrix mougeotii,Plamo,GCF_015207485.1
Cyanobacteria,Cyanophyceae,Synechococcales,Prochlorotrichaceae,Nodosilinea,Nodosilinea?sp.LEGE06152,NodspL6,GCF_015207525.1
Cyanobacteria,Cyanophyceae,Synechococcales,Oculatellaceae,Oculatella,Oculatella?sp.LEGE06141,OcuspL,GCF_015207605.1
Cyanobacteria,Oscillatoriophycideae,Chroococcales,Chroococcaceae,Gloeocapsopsis,Gloeocapsopsis crepidinum,Glocr,GCF_015207655.1
Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Oscillatoriaceae,Plectonema,Plectonema radiosum,Plera,GCF_015207665.1
Cyanobacteria,Oscillatoriophycideae,Chroococcales,Geminocystaceae,Cyanobacterium,Cyanobacterium stanieri,Cyast,GCF_015207825.1
Cyanobacteria,Cyanophyceae,Nostocales,aphanizomenonaceae,Sphaerospermopsis,Sphaerospermopsis aphanizomenoides,Sphap,GCF_015207835.1
Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Synechocystis,Synechocystis salina,Synsa,GCF_015207985.1
Cyanobacteria,Deltaproteobacteria,Desulauromonadales,Geobacteraceae,Trichlorobacter,Trichlorobacter lovleyi,Trilo,GCF_015239775.1
Cyanobacteria,Cyanophyceae,Nostocales,aphanizomenonaceae,anabaenopsiselenkinii,anabaenopsiselenkinii CCIBt3563,anaCC,GCF_015245355.1
Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Dendronalium,Dendronalium phyllosphericum,Denph,GCF_016056275.1
Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,amazonocrinis,amazonocrinis nigriterrae,amani,GCF_016056305.1
Cyanobacteria,Deltaproteobacteria,Desulauromonadales,Geobacteraceae,Geomesophilobacter,Geomesophilobacter sediminis,Geose,GCF_016458275.1
Cyanobacteria,Deltaproteobacteria,Desulauromonadales,Geobacteraceae,Geomonas,Geomonas anaerohicana,Geoana,GCF_016458305.1
Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Microcoleaceae,Oxynema,Oxynema sp.CENa135,Oxysp,GCF_016632315.1
Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Microcoleaceae,arthrospira,arthrospira?sp.PCC9108,artsp,GCF_016745315.1
Cyanobacteria,Cyanophyceae,Spirulinales,Spirulinaceae,Spirulina,Spirulina major CCY15215,SpimaC,GCF_016888125.1
Cyanobacteria,Cyanophyceae,Synechococcales,Prochlorotrichaceae,Halomicronema,Halomicronema?sp.CCY15110,Halsp,GCF_016888165.1
Cyanobacteria,Cyanophyceae,Synechococcales,Oculatellaceae,Thermoleptolyngbya,Thermoleptolyngbya?sp.PKUaC-SCTB121,ThespP,GCF_016919485.1
Cyanobacteria,Oscillatoriophycideae,Chroococcales,Chroococcaceae,Chroococcus,Chroococcus sp.aPU101,Chrspa,GCF_017312365.1
Cyanobacteria,Deltaproteobacteria,Desulauromonadales,Geobacteraceae,Geobacter,Geobacter benzoatilyticus,Geobe,GCF_017338855.1
Cyanobacteria,Cyanophyceae,Nostocales,Hapalosiphonaceae,aetokthonos,aetokthonos hydrillicola,aethy,GCF_017591665.1
Cyanobacteria,Cyanophyceae,Nostocales,Scytonemataceae,Brasilonema,Brasilonema sp.CT11,Brasp,GCF_017982655.1
Cyanobacteria,Cyanophyceae,Synechococcales,Leptolyngbyaceae,Leptolyngbya,Leptolyngbya?sp.15MV,Lepsp1,GCF_018128505.1
Cyanobacteria,Gloeobacteria,Gloeobacterales,Gloeobacteraceae,anthocerotibacter,anthocerotibacter panamensis,antpa,GCF_018389385.1
Cyanobacteria,Deltaproteobacteria,Desulauromonadales,Geobacteraceae,Citriaermentans,Citriaermentans pelophilum,Cittpe,GCF_018476885.1
Cyanobacteria,Deltaproteobacteria,Desulauromonadales,Geobacteraceae,Geobacter,Geobacter luticola,Geolu,GCF_018476905.1
Cyanobacteria,Deltaproteobacteria,Desulauromonadales,Geobacteraceae,Geobacter,Geobacter hydrogenophilus,Geohy,GCF_018501225.1
Cyanobacteria,Deltaproteobacteria,Desulauromonadales,Geobacteraceae,Geobacter,Geobacter grbiciae,Geogr,GCF_018531165.1
Cyanobacteria,Deltaproteobacteria,Desulauromonadales,Geobacteraceae,Geobacter,Geobacter chapellei,Geoch,GCF_018531195.1
Cyanobacteria,Deltaproteobacteria,Desulauromonadales,Geobacteraceae,Geomonas,Geomonas diazotrophica,Geodi,GCF_018919385.1
Cyanobacteria,Deltaproteobacteria,Desulauromonadales,Geobacteraceae,Geomonas,Geomonas azotoaigens,Geoaz,GCF_018919395.1
Cyanobacteria,Oscillatoriophycideae,Chroococcales,Microcystaceae,Microcystis,Microcystis aeruginosa,Micae,GCF_019704275.1
Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Rivularia,Rivularia sp.IaMM-261,RivspI,GCF_019973055.1
Cyanobacteria,Cyanophyceae,Synechococcales,Leptolyngbyaceae,Kovacikia,Kovacikia minuta,Kovmi,GCF_020091585.1
Cyanobacteria,Deltaproteobacteria,Desulauromonadales,Geobacteraceae,Geomonas,Geomonas agri,Geoag,GCF_020179605.1
Cyanobacteria,Cyanophyceae,Pleurocapsales,Hyellaceae,Waterburya,Waterburya agarophytonicola,Watag,GCF_020640915.1
Cyanobacteria,Gloeobacteria,Gloeobacterales,Gloeobacteraceae,Gloeobacter,Gloeobacter morelensis,Glomo,GCF_021018745.1
Cyanobacteria,Cyanophyceae,Synechococcales,Leptolyngbyaceae,Leptodesmis,Leptodesmis sichuanensis,Lepsi,GCF_021379005.1
Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Synechocystis,Synechocystis sp. PCC6803,SynspP6,GCF_022869765.1
Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Oscillatoriaceae,argonema,argonema antarcticum,argan,GCF_023333585.1
Cyanobacteria,Cyanophyceae,Synechococcales,Thermosynechococcaceae,Thermosynechococcus,Thermosynechococcus sp.HN-54,ThespH,GCF_023650955.1
Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Vulcanococcus,Vulcanococcus limneticus,Vulli,GCF_024346195.1
Cyanobacteria,Cyanophyceae,Synechococcales,acaryochloridaceae,acaryochloris,acaryochloris marina NC_009925.1,acama,GCF_024347835.1
Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Synechocystis,Synechocystis?sp.CS-94,SynspCS,GCF_025128275.1
Cyanobacteria,Deltaproteobacteria,Desulauromonadales,Geobacteraceae,Geoalkalibacter,Geoalkalibacter halelectricus,Geoha,GCF_025263685.1
Cyanobacteria,Cyanophyceae,Spirulinales,Spirulinaceae,Spirulina,Spirulina subsalsa aACHB-351,Spisua,GCF_026130165.1
Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus spongiarum,Synspo,GCF_900047545.1
Cyanobacteria,Deltaproteobacteria,Desulauromonadales,Geobacteraceae,Geoalkalibacter,Geoalkalibacter aerrihydriticus,Geoae,GCF_900103065.1
Cyanobacteria,Cyanophyceae,Pleurocapsales,Hyellaceae,Hyella,Hyella patelloides,Hyepa,GCF_900659865.1
Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus lacustris,Synla,GCF_903837405.1
Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Microcoleaceae,Planktothrix,Planktothrix agardhii,Plaag,GCF_903969095.1
Rhodophyta,Rhodellophyceae,Glaucosphaerales,Glaucosphaeraceae,Glaucosphaera,vacuolata,Glava,ERR2041126
Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,Ceramium,kondoi,Cerko,ERR2041130
Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Neosiphonia,japonica,Neoja,ERR2041132
Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Symphyocladia,latiuscula,Symla,ERR2041133
Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Ahnfeltiopsis,flabelliformis,Ahnfl,ERR2041138
Rhodophyta,Florideophyceae,Gracilariales,Gracilariaceae,Gracilaria,chouae,Gracho,ERR2041142
Rhodophyta,Florideophyceae,Gracilariales,Gracilariaceae,Gracilaria,vermiculophylla,Grave,ERR2041143
Rhodophyta,Florideophyceae,Gracilariales,Gracilariaceae,Gracilaria,blodgettii,Grabl,ERR2041144
Rhodophyta,Bangiophyceae,Porphyridiales,Porphyridiaceae,Porphyridium,purpureum,Porpu,ERR4345061
Rhodophyta,Bangiophyceae,Cyanidiales,Galdieriaceae,Galdieria,phlegrea,Galph,SRR028903
Rhodophyta,Florideophyceae,Gracilariales,Gracilariaceae,Gracilaria,lemaneiformis,Grale,SRR12206572 
Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,Pyropia,perforata,Pyrpe,SRR1282025
Rhodophyta,Stylonematophyceae,Stylonematales,Stylonemataceae,Rhodosorus,marinus,Rhomar,SRR1294402
Rhodophyta,Rhodellophyceae,Rhodellales,Rhodellaceae,Rhodella,maculata,Rhomac,SRR1296822
Rhodophyta,Compsopogonophyceae,Compsopogonales,Compsopogonaceae,Compsopogon,caeruleus,Comca,SRR1296982
Rhodophyta,Bangiophyceae,Porphyridiales,Porphyridiaceae,Porphyridium,aerugineum,Porae,SRR1296983 
Rhodophyta,Bangiophyceae,Porphyridiales,Porphyridiaceae,Timspurckia,oligopyrenoides,Timol,SRR1300387 
Rhodophyta,Bangiophyceae,Porphyridiales,Porphyridiaceae,Erythrolobus,australicus,Eryau,SRR1300443 
Rhodophyta,Bangiophyceae,Porphyridiales,Porphyridiaceae,Erythrolobus,madagascarensis,Eryma,SRR1300444
Rhodophyta,Compsopogonophyceae,Erythropeltidales,Erythrotrichiaceae,Madagascaria,erythrocladioides,Mader,SRR1300528 
Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,Pyropia,haitanensis,Pyrha,SRR14366515
Rhodophyta,Bangiophyceae,Cyanidiales,Cyanidiaceae,Cyanidioschyzon,merolae,Cyame,SRR16547541
Rhodophyta,Compsopogonophyceae,Rhodochaetales,Rhodochaetaceae,Rhodochaete,parvula,Rhopa,SRR16979013 
Rhodophyta,Bangiophyceae,Cyanidiales,Galdieriaceae,Galdieria,sulphuraria,Galsu,SRR17295775 
Rhodophyta,Florideophyceae,Halymeniales,Halymeniaceae,Grateloupia,filicina,Grafi,SRR5192950
Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,Pyropia,yezoensis,Pyrye,SRR5357787
Rhodophyta,Florideophyceae,Gigartinales,Solieriaceae,Betaphycus,philippinensis,Betph,SRR5357788
Rhodophyta,Florideophyceae,Gigartinales,Dumontiaceae,Dumontia,simplex,Dumsi,SRR5357789
Rhodophyta,Florideophyceae,Gigartinales,Solieriaceae,Kappaphycus,alvarezii,Kapal,SRR5357790
Rhodophyta,Florideophyceae,Gigartinales,Solieriaceae,Eucheuma,denticulatum,Eucde,SRR5357793
Rhodophyta,Florideophyceae,Halymeniales,Halymeniaceae,Grateloupia,turuturu,Gratu,SRR5357794
Rhodophyta,Florideophyceae,Halymeniales,Halymeniaceae,Grateloupia,livida,Grali,SRR5357795
Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Mazzaella,japonica,Maja,SRR5357796
Rhodophyta,Florideophyceae,Halymeniales,Halymeniaceae,Grateloupia,catenata,Graca,SRR5357797
Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Heterosiphonia,pulchra,Hetpu,SRR5357798
Rhodophyta,Florideophyceae,Gigartinales,Endocladiaceae,Gloiopeltis,furcata,Glofu,SRR5974837
Rhodophyta,Bangiophyceae,Porphyridiales,Porphyridiaceae,Porphyridium,cruentum,Porcr,SRR747672
Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,Porphyra,umbilicalis,Porum,SRR8052666 
Rhodophyta,Florideophyceae,Gracilariales,Gracilariaceae,Gracilariopsis,Gracilariopsis chorda isolate SKKU-2015,Graco1,JGI
Chlorophyta,Trebouxiophyceae,Trebouxiophyceae incertae sedis ,,Picochlorum ,unclassified Picochlorum,uncPi,ERR4345060
Chlorophyta,Chloropicophyceae,Chloropicales,Chloropicaceae,Chloropicon,Chloropicon sieburthii,Chlsi,ERR4345070 
Chlorophyta,Ulvophyceae,Dasycladales ,Polyphysaceae ,Acetabularia,Acetabularia acetabulum,Aceac,ERR4627616
Chlorophyta,Mamiellophyceae ,Mamiellales ,Mamiellaceae ,Micromonas,Micromonas polaris,Micpo,SRR10228043
Chlorophyta,Trebouxiophyceae,Chlorellales ,Chlorellaceae ,Auxenochlorella,Auxenochlorella pyrenoidosa,Auxpy,SRR1060354
Chlorophyta,Trebouxiophyceae,Trebouxiales ,Trebouxiaceae ,Lobosphaera ,unclassified Lobosphaera,uncLo,SRR10609578
Chlorophyta,Trebouxiophyceae,Chlorellales ,Oocystaceae,Oocystis ,unclassified Oocystis,uncOo,SRR10662504
Chlorophyta,Trebouxiophyceae,Chlorellales ,Chlorellaceae,Actinastrum,Actinastrum hantzschii,Actha,SRR1174702
Chlorophyta,Trebouxiophyceae,Chlorellales ,Chlorellaceae ,Closteriopsis,Closteriopsis acicularis,Cloac,SRR1174711
Chlorophyta,Trebouxiophyceae,Trebouxiophyceae incertae sedis ,,Lemmermannia,Lemmermannia tetrapedia,Lemte,SRR1174717
Chlorophyta,Trebouxiophyceae,Chlorellales ,Chlorellaceae ,Dictyosphaerium,Dictyosphaerium ehrenbergianum,Diceh,SRR1174718
Chlorophyta,Trebouxiophyceae,Chlorellales ,Chlorellaceae,Hegewaldia,Hegewaldia parvula,Hegpa,SRR1174722
Chlorophyta,Trebouxiophyceae,Chlorellales ,Chlorellaceae ,Micractinium,Micractinium pusillum,Micrapu,SRR1174724 
Chlorophyta,Trebouxiophyceae,Chlorellales ,Chlorellaceae ,Mucidosphaerium,Mucidosphaerium pulchellum,Mucpu,SRR1174728
Chlorophyta,Trebouxiophyceae,Chlorellales ,Oocystaceae,Oocystis ,Oocystis parva,Oocpa,SRR1174729
Chlorophyta,Trebouxiophyceae,Chlorellales ,Oocystaceae,Oocystis ,Oocystis polymorpha,Oocpo,SRR1174730
Chlorophyta,Trebouxiophyceae,Chlorellales ,Oocystaceae ,Tetrastrum,Tetrastrum heteracanthum,Tethe,SRR1174750
Chlorophyta,Ulvophyceae,Bryopsidales,Caulerpaceae ,Caulerpa,Caulerpa taxifolia,Cauta,SRR1228219
Chlorophyta,Nephroselmidophyceae ,Nephroselmidales ,Nephroselmidaceae ,Nephroselmis,Nephroselmis pyriformis,Neppy,SRR1294419
Chlorophyta,Mamiellophyceae ,Mamiellales ,Mamiellaceae ,Micromonas,Micromonas CCMP2099 - MMETSP0802,MicCC,SRR1296697
Chlorophyta,Chlorodendrophyceae,Chlorodendrales,Chlorodendraceae,Tetraselmis,Tetraselmis astigmatica,Tetas,SRR1296698
Chlorophyta,Chlorodendrophyceae,Chlorodendrales,Chlorodendraceae,Tetraselmis,Tetraselmis striata ,Tetst,SRR1296730
Chlorophyta,Pyramimonadophyceae ,Pyramimonadales ,Pyramimonadaceae ,Pyramimonas,Pyramimonas parkeae,Pyrpa,SRR1296737
Chlorophyta,Mamiellophyceae ,Dolichomastigales ,Dolichomastigaceae ,Dolichomastix,Dolichomastix tenuilepis,Dolte,SRR1296860
Chlorophyta,Mamiellophyceae ,Dolichomastigales ,Crustomastigaceae ,Crustomastix,Crustomastix stigmatica,Crust,SRR1296861
Chlorophyta,Chlorodendrophyceae,Chlorodendrales,Chlorodendraceae,Tetraselmis,Tetraselmis chuii,Tetch,SRR1296875 
Chlorophyta,Palmophyllophyceae ,Prasinococcales ,Prasinococcaceae ,Prasinococcus,Prasinococcus capsulatus,Praca,SRR1300224
Chlorophyta,Mamiellophyceae ,Mamiellales ,Bathycoccaceae ,Bathycoccus,Bathycoccus prasinos,Batpr,SRR1300250
Chlorophyta,Mamiellophyceae ,Mamiellales ,Bathycoccaceae ,Ostreococcus ,unclassified Ostreococcus,uncOs,SRR1300254
Chlorophyta,Mamiellophyceae ,Mamiellales ,Mamiellaceae ,Mantoniella,Mantoniella antarctica,Manan,SRR1300318
Chlorophyta,Picocystophyceae ,Picocystales ,Picocystaceae ,Picocystis,Picocystis salinarum,Picsa,SRR1300322
Chlorophyta,Mamiellophyceae ,Mamiellales ,Bathycoccaceae ,Ostreococcus ,Ostreococcus mediterraneus,Ostme,SRR1300342
Chlorophyta,Pyramimonadophyceae ,Pyramimonadales ,Pyramimonadaceae ,Pyramimonas,Pyramimonas obovata,Pyrob,SRR1300378
Chlorophyta,Pyramimonadophyceae ,Pyramimonadales ,Polyblepharidaceae ,Polyblepharides,Polyblepharides amylifera,Polam,SRR1300428
Chlorophyta,Mamiellophyceae ,Mamiellales ,Mamiellaceae ,Micromonas,Micromonas pusilla,Micropu,SRR1300455
Chlorophyta,Pyramimonadophyceae ,Pyramimonadales ,Pyramimonadaceae ,Pterosperma,Pterosperma CCMP1384 - MMETSP1438,PteCC,SRR1300516
Chlorophyta,Pyramimonadophyceae ,Pyramimonadales,Pyramimonadaceae,Pyramimonas ,unclassified Pyramimonas,uncPy,SRR1300524
Chlorophyta,Mamiellophyceae ,Mamiellales ,Mamiellaceae ,Micromonas,Micromonas commoda,Micco,SRR1588123
Chlorophyta,Trebouxiophyceae,Watanabeales ,,Watanabea,Watanabea reniformis,Watre,SRR16849198
Chlorophyta,Ulvophyceae ,Trentepohliales ,Trentepohliaceae ,Trentepohlia,Trentepohlia annulata,Trean,SRR16849199
Chlorophyta,Ulvophyceae,Trentepohliales ,Trentepohliaceae ,Cephaleuros,Cephaleuros parasiticus,Ceppa,SRR16849200
Chlorophyta,Trebouxiophyceae,Trebouxiales ,Trebouxiaceae ,Trebouxia,Trebouxia aggregata,Treag,SRR16849201
Chlorophyta,Trebouxiophyceae,Prasiolales ,Prasiolaceae,Prasiolopsis,unclassified Prasiolopsis ,uncPr,SRR16849207
Chlorophyta,Chlorophyceae ,Phaeophilales ,Phaeophilaceae ,Phaeophila,Phaeophila dendroides,Phade,SRR16849208
Chlorophyta,Ulvophyceae ,Oltmannsiellopsidales ,Oltmannsiellopsidaceae ,Oltmannsiellopsis,Oltmannsiellopsis unicellularis,Oltun,SRR16849212
Chlorophyta,Ulvophyceae ,Ulvales ,Ulvaceae ,Ulva ,unclassified Ulva,uncUl,SRR16849214
Chlorophyta,Trebouxiophyceae,Trebouxiophyceae incertae sedis ,,Leptosira ,unclassified Leptosira,uncLe,SRR16849220
Chlorophyta,Chlorophyceae ,Sphaeropleales ,Chromochloridaceae,Chromochloris,Chromochloris zofingiensis,Chrzo,SRR17622015
Chlorophyta,Trebouxiophyceae,Chlorellales ,Chlorellaceae,Chlorella,Chlorella vulgaris,Chlvu,SRR18683012
Chlorophyta,Chlorophyceae ,Sphaeropleales ,Scenedesmaceae ,Desmodesmus ,unclassified Desmodesmus,uncDe,SRR18897121
Chlorophyta,Chlorophyceae ,Chlamydomonadales ,Chlamydomonadaceae ,Chlamydomonas,Chlamydomonas reinhardtii,Chlre,SRR19075904 
Chlorophyta,Trebouxiophyceae,Trebouxiophyceae incertae sedis ,Elliptochloris clade ,Botryococcus,Botryococcus braunii,Botbr,SRR2120180
Chlorophyta,Trebouxiophyceae,Prasiolales ,Prasiolaceae,Prasiola,Prasiola crispa,Pracr,SRR3952294
Chlorophyta,Trebouxiophyceae,Trebouxiales ,Trebouxiaceae ,Lobosphaera,Lobosphaera incisa,Lobin,SRR5237746
Chlorophyta,Trebouxiophyceae,Trebouxiophyceae incertae sedis ,Elliptochloris clade ,Botryococcus,Botryococcus braunii,Botbr,SRR5279400
Chlorophyta,Trebouxiophyceae,Prasiolales ,Prasiolaceae ,Prasiola,Prasiola crispa,Pracr,SRR5754271
Chlorophyta,Trebouxiophyceae,Chlorellales ,Chlorellaceae ,Chlorella ,unclassified Chlorella,uncCh,SRR6513236
Chlorophyta,Mamiellophyceae ,Mamiellales ,Bathycoccaceae ,Ostreococcus ,Ostreococcus tauri,Ostta,SRR7121164
Chlorophyta,Ulvophyceae ,Bryopsidales ,Caulerpaceae ,Caulerpa,Caulerpa cylindracea,Caucy,SRR7168057
Chlorophyta,Trebouxiophyceae,Chlorellales ,Chlorellaceae ,Prototheca,Prototheca zopfii,Prozo,SRR8447029
Chlorophyta,Ulvophyceae ,Ulvales ,Ulvaceae ,Ulva ,Ulva compressa,Ulvco,SRR8703776
Chlorophyta,Ulvophyceae ,Ulvales ,Ulvaceae ,Ulva ,Ulva linza,Ulvli,SRR8703777
Chlorophyta,Ulvophyceae ,Ulvales ,Ulvaceae ,Ulva ,Ulva flexuosa,Ulvfl,SRR8703778
Chlorophyta,Ulvophyceae ,Ulvales ,Ulvaceae ,Ulva ,Ulva prolifera,Ulvpr,SRR8703779
Chlorophyta,Chlorophyceae ,Chlamydomonadales ,Chlamydomonadaceae,Chlamydomonas,Chlamydomonas priscuii UWO241,ChlUWO241,JGI
Chlorophyta,Chlorophyceae ,Chlamydomonadales ,Chlamydomonadaceae,Chlamydomonas,Chlamydomonas eustigma NIES-2499,Chleu,JGI
Chlorophyta,Chlorophyceae ,Chlamydomonadales ,Chlamydomonadaceae,Chlamydomonas,Chlamydomonas incerta SAG 7.73,Chlin,JGI
Chlorophyta,Chlorophyceae ,Chlamydomonadales ,Chlamydomonadaceae,Chlamydomonas,Chlamydomonas schloesseri CCAP 11/173,Chlsc,JGI
Chlorophyta,Chlorophyceae ,Sphaeropleales ,Scenedesmaceae ,Desmodesmus ,Desmodesmus armatus UTEX B 2533 v2.0,DesarB2533,JGI
Chlorophyta,Chlorophyceae ,Chlamydomonadales ,Dunaliellaceae,Dunaliella,Dunaliella salina CCAP19/18,Dunsal,JGI
Chlorophyta,Chlorophyceae ,Chlamydomonadales ,-,Edaphochlamys,Edaphochlamys debaryana CCAP 11/70,Edade,JGI
Chlorophyta,Chlorophyceae ,Sphaeropleales ,Scenedesmaceae ,Enallax,Enallax costatus CCAP 276/31 v1.1,Enacos,JGI
Chlorophyta,Chlorophyceae ,Sphaeropleales ,Scenedesmaceae,Flechtneria,Flechtneria rotunda SEV3VF49 v1.1,Flerot,JGI
Chlorophyta,Chlorophyceae ,Chlamydomonadales ,Volvocaceae,Gonium,Gonium pectorale NIES-2863,Gonpec,JGI
Chlorophyta,Chlorophyceae ,Chlamydomonadales,Chlamydomonadaceae,Microglena,Microglena sp. YARC,MicrYARC,JGI
Chlorophyta,Chlorophyceae ,Sphaeropleales ,Selenastraceae,Monoraphidium,Monoraphidium minutum 26B-AM v1.0,Monmin,JGI
Chlorophyta,Chlorophyceae ,Sphaeropleales ,Selenastraceae,Monoraphidium,Monoraphidium neglectum SAG 48.87,Monneg,JGI
Chlorophyta,Chlorophyceae ,Sphaeropleales ,Selenastraceae,Raphidocelis,Raphidocelis subcapitata NIES-35,Rapsub,JGI
Chlorophyta,Chlorophyceae ,Sphaeropleales ,Scenedesmaceae,Tetradesmus,Scenedesmus obliquus UTEX 3031,Sceob152z,JGI
Chlorophyta,Chlorophyceae ,Sphaeropleales ,Scenedesmaceae,Tetradesmus,Scenedesmus obliquus EN0004 v1.0,SceoblEN4,JGI
Chlorophyta,Chlorophyceae ,Sphaeropleales ,Scenedesmaceae,Tetradesmus,Scenedesmus sp. NREL 46B-D3 v1.0,Scesp,JGI
Chlorophyta,Chlorophyceae ,Sphaeropleales ,Scenedesmaceae,Tetradesmus,Tetradesmus deserticola SNI-2 v1.1,TetrdesSNI2,JGI
Chlorophyta,Chlorophyceae ,Sphaeropleales ,Scenedesmaceae,Tetradesmus,Tetradesmus obliquus UTEX 72 v1.1,Tetrobl72,JGI
Chlorophyta,Chlorophyceae ,Sphaeropleales ,Scenedesmaceae,Tetradesmus,Tetrabaena socialis NIES-571,Tetso,JGI
